Help!	Kapadle
He is anxious about the result.	Aye neernaya da bagge bejar ithe.
He took a picture of the koala.	Aye koala da chitra dethe.
He walks his dog every morning.	Aye dhinala kaande nayi n lethondh pope.
His absence was due to illness.	Ayeg jwara ithinek barre ayiji.
His behavior is very odd today.	Ayena inni tha nadathe vichithra ithind.
How do you interpret this poem?	Indh kavithe du dhadha matha artha deppoli aapund.
How do you interpret this poem?	Indh kavithe du dhadha matha artha deppoli aapund.
How do you like your eggs done?	Nik thethi rd dhadha yedde aapund.
I am thinking of changing jobs.	Yan bele pagathe malpod nd thoovond ulle.
I bet five pounds on the horse.	Yan aine pound bet padiye.
I did it the way he told me to.	Aye yencha pande yan aacnha manthe.
I don't know when he will come.	Yenk gothuji aye yeppa barpe nd.
I have a bone to pick with you.	Yan ninada mith kushi ijji.
I have not seen him since then.	Yan aagardh inchi thoothiji ayen.
I left the keys with my wallet.	Yan purse chabhi dottige purse la budiye.     
I motioned for her to sit down.	Yan alen kullare pande.
I must have left it on the bus.	Yenk aapund yan bus du budiye naandh.
I take a bath almost every day.	Yan ithe dhinala meepe naandh.
I want to have a cup of coffee.	Yenk onji lote kaapi bodu.
I will give you a large folder.	Yan nik onji malla folder korpe.
I'm going to meet him tomorrow.	Yan yelle ayen thikere povondh ulle. 
I've never met such a kind man.	Yan orala anchina jana n thikdhiji.
I've worked here for ten years.	Yan mulpa path varsha bele malthe.
Is it possible to borrow money?	Yelle yenk sala kenre ava?
It is no use worrying about it.	Aytha bagge mande bechcha malth prayojana ijji.
It took me a while to find Tom.	Yenk masth porthu thagundh ayen nadre.
Let's meet here again tomorrow.	Nama yelle kuda thikga mulpa.
Let's take a rest in the shade.	Nama nirel du arama malpuga.
Mary is interested in politics.	Mary g rajyakiya panda ista.
May I leave this book with you?	Indh booku n ninna alpa didh povada?
My hobby is playing the guitar.	Guitar gobbuna yenna abyasa.
Physics is my favorite subject.	bautha-shasthra yenna ista da visheya.
Please speak in a louder voice.	Dhayamanthudh joru pather.
Read as many books as possible.	Yeth aapund ath booku odhu.
Remove your shirt and lie down.	Ninna angi dethe du jeppu.
She always tries something new.	Aal yepala posa-posa bele thoopal.
She cooked us a wonderful meal.	Aal yedde adige manthal namma vanas g.
She helped me pack my suitcase.	Aal yenna chila pack malpere sahaya malthal.
She is a woman of great beauty.	Aal onji  masth shok da ponnu.
She is always dressed in black.	Aal yepala kappu angi paduni.
She is appearing on TV tonight.	Ini aal dhooradharshana d barondh ullal.
She warned him not to go alone.	Yan echcharike koriye oriye povorchi nd.
She's a beauty from a distance.	Aal dhoora rd shok thoojival.
Someone has cut my kite string.	Yera yenna gaali pata n parither.	
Such a thing occurs frequently.	Ancha dhinala aapund.
The bird on the roof is a crow.	Kakke illa da mith undu.
The car raised a cloud of dust.	Gaadi dhool rattadh pondu.
The children were flying kites.	Jokul Gaali pata budondh ither.
The deer was running by itself.	Jinke aitha athige balithond ithind.
The dog kept barking all night.	Nai idi rathre korethond ithind.
The earth moves around the sun.	Bhoomi suryana sutha thirgund.
The investigation is under way.	Veecharane avondh undu.
The men went hunting for lions.	Aye javane simha n bette adre poye.
The plane crash took 200 lives.	Av veemana da apagathad irnoodu jana saither.
The plane will arrive at three.	Av veemana mujji ganteg barpund.
The shop carried leather goods.	Av angadi charma da saman marondh uller.
Their wedding will be tomorrow.	Aklena madime yelle.
There are no towels in room 15.	Kone 15 du byrass ijjand.
There used to be a church here.	Alpa dhumbu onji church ithind.
These shoes are too big for me.	Indh boodsu malla aapund yenk.
They went on talking for hours.	Akul patherondh onji gante patheriyer.
They went out of sight at last.	Akul yenchla kadeg kann thapadh poyer.
This is a picture of my sister.	Indh chithra yenna akkana.
This is mine, and that's yours.	Indh yenna,Av ninna.
This medicine will do you good!	Indh mardh nik yedde
This train is bound for Boston.	Indh rail boston g badhavathand.	
Today is my sixteenth birthday.	Ini yenna pathnaji varshadha puttu parba.
We are anxious for world peace.	Nama chinthe ethe namadhig.
We are sorry we can't help you.	Kshmaye kenuva ,namard sahaya avondh.
We cannot do the work in a day.	Onji dhinat bele avondh namardh.
What would you like for supper?	Rathre vanas g dhadha thinare ista malpuva.
Who is the author of the novel?	Katta-kathe dha pusthala karthe yer?
Why were you late this morning?	Inni kande dane kadesa bathini?
Won't you come to dine with us?	Namma ottige vanas malpere barpara?
You may take anything you like.	Nik wov ista aapund Av deppu.
You must be back by 10 o'clock.	Ee path ganteg dha ullai pira barod.
You owe me an apology for that.	Ee ayik kshmaye kenod yenada.
You should have come yesterday.	Ee kode barod ithind.
You should have kept it secret.	Ee aven dengadh divod ithind.
You should have listened to me.	Ee yena pathera kenodu ithind.
You should have seen the movie.	Ee Av chalana chithra thoovod ithind.
A good idea suddenly struck her.	Orane ayena manded onji alochane bathund.
All the students look up to him.	Purrella Ayena Thirth ullere.
Are you the owner of this house?	Ee undu illada Yajamane na?
At last, he solved the question.	Kadeg ayeg prashneg uthara thikund.
Australia exports a lot of wool.	Australia  rd masth wool kadapudver.
Believe it or not, that is true.	Nambu nanada nambu ijindha budu,mathra sathya Av.
China is much bigger than Japan.	China japan rd masth malla undu.
China is much larger than Japan.	China japan rd masth malla.
Do you think that fish can hear?	Ninna lekkad meen g kebhi kenunda?
English is the world's language.	English idi jagath dha bashe english.
English is the world's language.	Idi jagath dha bashe english.
Even children can understand it.	Jokulegla artha aapund.
Everything is all right at home.	Illad pura sari undatha.
Finish this as soon as possible.	Ee nen rappa mudipala.
Finish this as soon as possible.	Ee nen yeth bega appund ath bega mugipu.
Fresh vegetables promote health.	Shuddha tharakari nama jivag  yedde.
Fresh vegetables promote health.	Shuddha tharakari nama jivag yedde.
He is afraid of making mistakes.	Aal tapu malpare podival.
He looked back and smiled at me.	Aye pira thirged thood thelthe.
He was buried in this graveyard.	Ayen nete kavonth mann padni.
He was buried in this graveyard.	Ayen mulu kavonthuni.
I am nothing but a poor peasant.	Yan dhala ath onji bada raitha.
I bet ten dollars on that horse.	Aa kudureg Yan path dolar bet paddhe.
I clean up my room every Sunday.	Prathi ayithara yenna konen ochuve.
I have some stuff to do at home.	Yenk ilad chur bele undu.
I hope he won't be disappointed.	Yenk baravase undu aleg bejjar avandh.
I remember when I first sAv you.	Yenk nenapu undu suru thikinaga.
I wake him at six every morning.	Dhinala ayen aaji ganteg lakaAve.
I want you to keep your promise.	Yenk ninna pathera ori pavod.
I will go there in place of you.	Ninna badal yan pope adeg.
I would like to meet his father.	Yenk ayena amere n thikod.
I'm going to tell you something.	Ninada dhadhana panare ithind. 
I'm going to tell you something.	Ninada dhhadana panare povondu ulle.
I'm gonna have to call you back.	Ninan kuda leppod aapundu yenk.
It is very cold today, isn't it?	Ini masth chali undu,atha?
It isn't raining much this year.	Ee varshad ath barsa baidijji.
It was raining heavily in Osaka.	Osaka du Masth barsa barond undu.
May I see your passport, please?	Eer dhayamanthudh passport thoopavara.
My father hates the summer heat.	Yenna amere g seke panda apuji.
My watch isn't working properly.	Ayena gadiyara nadond ijji.
Perhaps he will never be famous.	Aye janmad parpeda apuje.
Please give me a glass of water.	Dhayamanthudh onji lote neer korle
Please wait here until he comes.	Aye banneta kapule moolu.
She bought two pounds of butter.	Aal onji kilo neai Geythondal.
She gazed at me for a long time.	Aal yenan masethond tuvondh eethal.
She got off at the next station.	Aal barpina station d jathal.
She left the table after dinner.	Vanas aadh maij rd lakkad poyal.
She lives in an apartment alone.	Aal flat du orthiye uppun.
She saved money for a rainy day.	Aal haal dhinak kass oripayal.
She tried in vain to please him.	Aal pakade jindla ayen kushi malpere tuyal.
Swimming here is very dangerous.	Mulpa ninduna masth apayakari.
Tell whoever comes that I'm out.	Yerandala bathandha pan yan ijji nd.
The boy ran Avay when he sAv me.	Aye aan balthe yenan thoodh.
The clock has just struck three.	Gadiyara d ithe athe muji ayini.
The dictionary is close at hand.	Atha kosha kaithal d undu.
The house is said to be haunted.	Ee ilad bootha undu.
The kite got caught in the tree.	Gaali pata marat thikalandh.
The rumor turned out to be true.	Av pathera sathya aand. 
The train came to a smooth stop.	Rail mella bath d unthandh.
The water was cut off yesterday.	Kode neer bandh ithind.
There are few, if any, such men.	Anchinakul kadime uppuni.
There is always something to do.	Yepala dhadhandla uppund malpere.
They abandoned the sinking ship.	Akul Murkondh ithina Kapal n buddh budiyer.
They abandoned the sinking ship.	Akul Murkondh ithina Kapal n budiyer.
They are discussing the problem.	Akul samasye da baage patherondh ulla.
To what degree can we trust him?	Nama Ayen yeth namboli. 
Try to jump as high as possible.	Yeth mith aapund ath mith laagi.
Two crows are flying in the sky.	Rad kakkelu ravondh ulla akashod.
Unless it rains, I will go, too.	Barsa baijindala yan pope
We can hear the ocean from here.	Kadal dha shabdha mulpadh kenundu
We have eaten there three times.	Nama avlu muji sarthi thintha
We hurried to the train station.	Nama rail nildhana gu bega-bega poya
We saw the child get on the bus.	Nama balenu bus mitharunu thooya
We'll cross the river in a boat.	Nama odadu nadhin dhatiga
What did you do with my baggage?	Yenna cheela dotugu dada manthondu itha?
What is the population of India?	Bharathada janasankye yeth?
What is the population of India?	yeth janasankye Bharathadu?
What the newspapers say is true.	Dhinapatrike pantina pura satya
Who is the author of this story?	Indh kathe da lekaka yer?
Why did you turn down his offer?	Ee undu opige nu dhaye budiya?
Why didn't you go to the office?	Ee dhaye office poyija?
Will you turn on the television?	Ee dhooradharshana nu chaal manpuvana?
Wipe your hands with this towel.	Ee ninna kainu e kuntudu ochu
Would you like to dance with me?	yenna ottige nalipuvana?
Would you like to dance with me?	nalipuvana yenna ottugu e?
You should conform to the rules.	Ee sutradha prakara povodu
Your bicycle is similar to mine.	Ninna cycle yenna cycle laka undu
"Let's play tennis." "Yes let's."	Bala nama tennis gobbuga, andhu bala
A rope was thrown into the water.	bal n neer dha ulai dhakyer
Do you go there by bus or by car?	Ee avulu bus du popina? gaadidu popina?
Do you have brothers and sisters?	nik tage-tangadi ullera?
Don't worry. You can count on me.	bejar manpodchi. nik yenna mith nambike dheyoli
He called me up almost every day.	Aye yenk dhinola kare manthe
He cannot answer their questions.	Ayeg ee prashne gu uthara korre apuji
He explained his plans in detail.	Aye ayena yojane nu vivara manth pande
He has his hair cut once a month.	Aye thingol gu ora kucchi dheppere pope
He hasn't written the letter yet.	Aye nanala pathra barethije
He is always losing his umbrella.	Aye yepala ayena kode dhakudh padve
He may be rich, but he is stingy.	Aye kass dhaye andala kure katondu ulle
He pressed me for a prompt reply.	Aye bega bega uthara korre panda
He reads the paper every morning.	Aye dhinola kande samachara pathra nu odhuve
He was killed by a single bullet.	Aye onji goli d saithe
He weighed the stone in his hand.	Aye kall n kaitu thuka manthe
He went to India by way of Japan.	Aye Bharathagu Japan dha sadhidu poye
How old might his grandfather be?	Ayena Ajjerg yeth praya adhu uppu?
Hurry up, or you'll miss the bus.	bega poi,bus thikand
I am ashamed of having been lazy.	yenk udhasina ithineku yenk nachige avondh undu
I didn't know what to say to him.	yenk ayeda dhada panpun pandh gothuiji
I don't know how, but Tom did it.	yenk gothuji yencha ,anda tom manthe
I don't know how, but you did it.	yenk gothuji yencha ,anda e manthe
I had a strange dream last night.	yenk kode rathre vichithra kanakatund
I had to help with the housework.	yenk illadha bele gu sahaya manpod
I have an important call to make.	yenk mukyavadha kare manpodh
I have no place to sleep tonight.	yenk rathre jepare jage ijji
I have not finished the task yet.	yan nanala bele mugipadhiji
I know nothing whatever about it.	yenk dhala aitha bagge gothuiji
I meet him once every six months.	yan ayeg aaji thingol gu ora thikuve
I think the train will come soon.	yenna andhaji rail bega barpund
I want to go to America some day.	yenk onji dhina America povodu
I want to study abroad next year.	barpin varsha yenk pidai urud odhodu
I was taking a bath when he came.	aye bathinaga yan miyondu ithe
I went there because I wanted to.	yan ade poye dhaye panda yenk adeg povodu ithind
I wrote a love letter last night.	yan kode rathre prema pathra barethe
I'd like to have a word with you.	ninada onji churu patherre ithind 
I'm looking for a small suitcase.	yan yellia gattichela nadondule
I'm tired of watching television.	yenk dhooradharshana thudu bachind
Is it always a sin to tell a lie?	yepala sullu panda dhosha thikunda?
Is there anywhere you want to go?	Nik odegandala poyare unda?
It is expensive to live in Japan.	Japan du badhukere karch jasthi aapund
It is no use asking me for money.	Ee yenada kass kendh prayojana ijji
It looks like you are from India.	Ee Bharathadu bathini laka thojuva
It won't take long to do the job.	bele malpare jasthi porthu dheppuji
Keep children away from medicine.	mathren jokuledh dura dhele
My boss made me work last Sunday.	yenna dhani poyina aythara bele manpaye
My father can speak English well.	yenna ammer english yedde patherver
My father's hair has grown white.	Yenna ammer na kujal boldh aand
My hobby is visiting old temples.	yenk devastana popuna abyasa
Oh, no! We're running out of gas.	chaa,fuel kali avondh barondu undu
